time	p	height	baseradius	curvatureRadius	strain	tension	SourceFile
77.06	200	33.210636	43.4505821	45.0292404570833	0.584202198872165	4502.92404570833	2021_02_17__12_33_03_D1_CPE.dat
78.12	200	24.907977	43.4505821	50.3525517761111	0.328613736865593	5035.25517761111	2021_02_17__12_33_03_D1_CPE.dat
79.18	200	27.67553	43.4505821	47.9464719485	0.405695971439004	4794.64719485	2021_02_17__12_33_03_D1_CPE.dat
80.24	200	32.6571254	43.7273374	45.6036445186441	0.557763178977728	4560.36445186441	2021_02_17__12_33_03_D1_CPE.dat
81.3	200	30.443083	43.7273374	46.6257201781818	0.4846979650697	4662.57201781818	2021_02_17__12_33_03_D1_CPE.dat
82.36	200	24.907977	43.7273374	50.8368735511111	0.324467232815254	5083.68735511111	2021_02_17__12_33_03_D1_CPE.dat
83.42	200	33.210636	43.7273374	45.3924817883333	0.576830636116007	4539.24817883333	2021_02_17__12_33_03_D1_CPE.dat
84.48	200	33.210636	43.7273374	45.3924817883333	0.576830636116007	4539.24817883333	2021_02_17__12_33_03_D1_CPE.dat
85.54	200	28.2290406	43.7273374	47.9817718156863	0.416760134593815	4798.17718156863	2021_02_17__12_33_03_D1_CPE.dat
86.6	200	33.210636	44.0040927	45.75802941375	0.569597721609114	4575.802941375	2021_02_17__12_33_03_D1_CPE.dat
87.66	200	33.210636	44.0040927	45.75802941375	0.569597721609114	4575.802941375	2021_02_17__12_33_03_D1_CPE.dat
88.72	200	33.210636	44.0040927	45.75802941375	0.569597721609114	4575.802941375	2021_02_17__12_33_03_D1_CPE.dat
89.78	200	34.8711678	44.0040927	45.2000709607143	0.627981488074048	4520.00709607143	2021_02_17__12_33_03_D1_CPE.dat
90.84	200	35.978189	44.0040927	44.8992896511538	0.668486214944029	4489.92896511538	2021_02_17__12_33_03_D1_CPE.dat
91.9	200	35.4246784	44.0040927	45.0430061503906	0.648075629919703	4504.30061503906	2021_02_17__12_33_03_D1_CPE.dat
92.96	200	30.443083	44.0040927	47.0244994059091	0.478620307740991	4702.44994059091	2021_02_17__12_33_03_D1_CPE.dat
94.02	200	35.978189	44.280848	45.2388471153846	0.66015625	4523.88471153846	2021_02_17__12_33_03_D1_CPE.dat
95.08	200	33.210636	44.280848	46.1258833333333	0.5625	4612.58833333333	2021_02_17__12_33_03_D1_CPE.dat
96.14	200	35.978189	44.280848	45.2388471153846	0.66015625	4523.88471153846	2021_02_17__12_33_03_D1_CPE.dat
97.2	200	35.978189	44.280848	45.2388471153846	0.66015625	4523.88471153846	2021_02_17__12_33_03_D1_CPE.dat
98.26	200	33.210636	44.5576033	46.4960435470833	0.555534122911925	4649.60435470833	2021_02_17__12_33_03_D1_CPE.dat
99.32	200	34.3176572	44.5576033	46.0853371939516	0.593186991242622	4608.53371939516	2021_02_17__12_33_03_D1_CPE.dat
100.38	200	35.978189	44.5576033	45.5805334665385	0.651981019250801	4558.05334665385	2021_02_17__12_33_03_D1_CPE.dat
101.44	200	35.978189	44.8343586	45.9243487046154	0.643956713915562	4592.43487046154	2021_02_17__12_33_03_D1_CPE.dat
102.5	200	38.745742	44.8343586	45.3127499042857	0.746837372351776	4531.27499042857	2021_02_17__12_33_03_D1_CPE.dat
103.56	200	33.210636	44.8343586	46.868510055	0.548696844993141	4686.8510055	2021_02_17__12_33_03_D1_CPE.dat
104.62	200	38.745742	44.8343586	45.3127499042857	0.746837372351776	4531.27499042857	2021_02_17__12_33_03_D1_CPE.dat
105.68	200	30.443083	44.8343586	48.2359328327273	0.461057765584515	4823.59328327273	2021_02_17__12_33_03_D1_CPE.dat
106.74	200	34.3176572	44.8343586	46.4457886532258	0.585886297820454	4644.57886532258	2021_02_17__12_33_03_D1_CPE.dat
107.8	200	35.978189	45.1111139	46.2702928296154	0.636079641687681	4627.02928296154	2021_02_17__12_33_03_D1_CPE.dat
108.86	200	38.745742	45.1111139	45.6339837346429	0.737701832963228	4563.39837346429	2021_02_17__12_33_03_D1_CPE.dat
109.92	200	41.513295	45.1111139	45.2670193856667	0.846851593962889	4526.70193856667	2021_02_17__12_33_03_D1_CPE.dat
110.98	200	38.745742	45.1111139	45.6339837346429	0.737701832963228	4563.39837346429	2021_02_17__12_33_03_D1_CPE.dat
112.04	200	38.745742	45.1111139	45.6339837346429	0.737701832963228	4563.39837346429	2021_02_17__12_33_03_D1_CPE.dat
113.1	200	36.5316996	45.1111139	46.1185451246212	0.655801874364861	4611.85451246212	2021_02_17__12_33_03_D1_CPE.dat
114.16	200	39.2992526	45.1111139	45.5408642073944	0.758929579585231	4554.08642073944	2021_02_17__12_33_03_D1_CPE.dat
115.22	200	38.745742	45.3878692	45.9571943885714	0.728732897085069	4595.71943885714	2021_02_17__12_33_03_D1_CPE.dat
116.28	200	41.513295	45.3878692	45.5686826626667	0.836555621653778	4556.86826626667	2021_02_17__12_33_03_D1_CPE.dat
117.34	200	35.978189	45.3878692	46.6183658415385	0.628346222486615	4661.83658415385	2021_02_17__12_33_03_D1_CPE.dat
118.4	200	36.5316996	45.3878692	46.4613443030303	0.647828673408685	4646.13443030303	2021_02_17__12_33_03_D1_CPE.dat
119.46	200	36.5316996	45.3878692	46.4613443030303	0.647828673408685	4646.13443030303	2021_02_17__12_33_03_D1_CPE.dat
120.52	200	39.2992526	45.3878692	45.8595225985915	0.74970255800119	4585.95225985915	2021_02_17__12_33_03_D1_CPE.dat
