Time	Pressure	Strain	Tension	Height	Base	Radius	Period	Dome_ID
1313.34	137.332	1.92977262248538	2.17913100246188	41.8065	30.09475	31.7352256205674	2000s	1
1317.47	136.506	1.82183503603582	2.14713615979243	40.6205	30.09475	31.4584876824818	2000s	1
1321.6	135.68	1.82183503603582	2.13414380437956	40.6205	30.09475	31.4584876824818	2000s	1
1325.73	134.854	1.92977262248538	2.139811057918	41.8065	30.09475	31.7352256205674	2000s	1
1329.86	134.028	1.92977262248538	2.1267044097367	41.8065	30.09475	31.7352256205674	2000s	1
1333.99	133.202	1.82183503603582	2.09516673814097	40.6205	30.09475	31.4584876824818	2000s	1
1338.12	132.376	1.82183503603582	2.0821743827281	40.6205	30.09475	31.4584876824818	2000s	1
1342.25	131.55	1.61527821592371	2.03664731660611	38.2485	30.09475	30.9638512596899	2000s	1
1346.38	130.724	1.82183503603582	2.05618967190237	40.6205	30.09475	31.4584876824818	2000s	1
1350.51	129.898	1.82183503603582	2.04319731648951	40.6205	30.09475	31.4584876824818	2000s	1
1354.64	129.072	1.69128103084278	2.00962002482955	39.138	30.09475	31.1395194128788	2000s	1
1358.77	128.246	1.59033220898347	1.98191997732178	37.952	30.09475	30.9080981445313	2000s	1
1362.9	127.42	1.82183503603582	2.00422025025091	40.6205	30.09475	31.4584876824818	2000s	1
1367.03	126.594	1.79533597029775	1.98703271753355	40.324	30.09475	31.3922100183824	2000s	1
1371.16	125.768	1.56558033439297	1.94021046441929	37.6555	30.09475	30.8538016732284	2000s	1
1375.29	124.942	1.69128103084278	1.94531691724195	39.138	30.09475	31.1395194128788	2000s	1
1379.42	124.116	1.59033220898347	1.91809475465332	37.952	30.09475	30.9080981445313	2000s	1
1383.55	123.29	1.69128103084278	1.91959567420691	39.138	30.09475	31.1395194128788	2000s	1
1387.68	122.464	1.69128103084278	1.90673505268939	39.138	30.09475	31.1395194128788	2000s	1
1391.81	121.638	1.79533597029775	1.909242821108	40.324	30.09475	31.3922100183824	2000s	1
1395.94	120.812	1.69128103084278	1.88101380965436	39.138	30.09475	31.1395194128788	2000s	1
1400.07	119.986	1.69128103084278	1.86815318813684	39.138	30.09475	31.1395194128788	2000s	1
1404.2	119.16	1.69128103084278	1.85529256661932	39.138	30.09475	31.1395194128788	2000s	1
1408.33	118.334	1.69128103084278	1.8424319451018	39.138	30.09475	31.1395194128788	2000s	1
1412.46	117.508	1.69128103084278	1.82957132358428	39.138	30.09475	31.1395194128788	2000s	1
1416.59	116.682	1.59033220898347	1.8032093538501	37.952	30.09475	30.9080981445313	2000s	1
1420.72	115.856	1.92977262248538	1.83835814974823	41.8065	30.09475	31.7352256205674	2000s	1
1424.85	115.03	1.69128103084278	1.79098945903172	39.138	30.09475	31.1395194128788	2000s	1
1428.98	114.204	1.59033220898347	1.76491422024902	37.952	30.09475	30.9080981445313	2000s	1
1433.11	113.378	1.59033220898347	1.75214917571533	37.952	30.09475	30.9080981445313	2000s	1
1437.24	112.552	1.56558033439297	1.7363285429626	37.6555	30.09475	30.8538016732284	2000s	1
1441.37	111.726	1.69128103084278	1.73954697296165	39.138	30.09475	31.1395194128788	2000s	1
1445.5	110.9	1.82183503603582	1.74437314199361	40.6205	30.09475	31.4584876824818	2000s	1
1449.63	110.074	1.69128103084278	1.71382572992661	39.138	30.09475	31.1395194128788	2000s	1
1453.76	109.248	1.69128103084278	1.70096510840909	39.138	30.09475	31.1395194128788	2000s	1
1457.89	108.422	1.79533597029775	1.70180309730653	40.324	30.09475	31.3922100183824	2000s	1
1462.02	107.596	1.69128103084278	1.67524386537405	39.138	30.09475	31.1395194128788	2000s	1
1466.15	106.77	1.69128103084278	1.66238324385653	39.138	30.09475	31.1395194128788	2000s	1
1470.28	105.944	1.69128103084278	1.64952262233902	39.138	30.09475	31.1395194128788	2000s	1
1474.41	105.118	1.69128103084278	1.6366620008215	39.138	30.09475	31.1395194128788	2000s	1
1478.54	104.292	1.56558033439297	1.60890234205217	37.6555	30.09475	30.8538016732284	2000s	1
1482.67	103.466	1.69128103084278	1.61094075778646	39.138	30.09475	31.1395194128788	2000s	1
1486.8	102.64	1.56558033439297	1.58341710187008	37.6555	30.09475	30.8538016732284	2000s	1
1490.93	101.814	1.69128103084278	1.58521951475142	39.138	30.09475	31.1395194128788	2000s	1
